;; okuri-ari entries.
;; okuri-nasi entries.
^( /⁽/
mathbffraky /𝖞/
mathbffrakz /𝖟/
mathbffsigma /𝛓/
mathbfg /𝐠/
mathbfgamma /𝛄/
mathbfh /𝐡/
mathbfi /𝐢/
mathbfiota /𝛊/
mathbfitA /𝑨/
mathbfitAlpha /𝜜/
mathbfitB /𝑩/
mathbfitBeta /𝜝/
mathbfitC /𝑪/
mathbfitChi /𝜲/
mathbfitD /𝑫/
mathbfitDelta /𝜟/
mathbfitE /𝑬/
mathbfitEpsilon /𝜠/
mathbfitEta /𝜢/
mathbfitF /𝑭/
mathbfitG /𝑮/
mathbfitGamma /𝜞/
mathbfitH /𝑯/
mathbfitI /𝑰/
mathbfitIota /𝜤/
mathbfitJ /𝑱/
mathbfitK /𝑲/
mathbfitKappa /𝜥/
mathbfitL /𝑳/
mathbfitLambda /𝜦/
mathbfitM /𝑴/
mathbfitMu /𝜧/
mathbfitN /𝑵/
mathbfitNabla /𝜵/
mathbfitNu /𝜨/
mathbfitO /𝑶/
mathbfitOmega /𝜴/
mathbfitOmicron /𝜪/
mathbfitP /𝑷/
mathbfitPhi /𝜱/
mathbfitPi /𝜫/
mathbfitPsi /𝜳/
mathbfitQ /𝑸/
mathbfitR /𝑹/
mathbfitRho /𝜬/
mathbfitS /𝑺/
mathbfitSigma /𝜮/
mathbfitT /𝑻/
mathbfitTau /𝜯/
mathbfitTheta /𝜣/
mathbfitU /𝑼/
mathbfitUpsilon /𝜰/
mathbfitV /𝑽/
mathbfitW /𝑾/
mathbfitX /𝑿/
mathbfitXi /𝜩/
mathbfitY /𝒀/
mathbfitZ /𝒁/
mathbfitZeta /𝜡/
mathbfita /𝒂/
mathbfitalpha /𝜶/
mathbfitb /𝒃/
mathbfitbeta /𝜷/
mathbfitc /𝒄/
mathbfitchi /𝝌/
mathbfitd /𝒅/
mathbfitdell /𝝏/
mathbfitdelta /𝜹/
mathbfite /𝒆/
mathbfitepsilon /𝜺/
mathbfiteta /𝜼/
mathbfitf /𝒇/
mathbfitfsigma /𝝇/
mathbfitg /𝒈/
mathbfitgamma /𝜸/
mathbfith /𝒉/
mathbfiti /𝒊/
mathbfitiota /𝜾/
mathbfitj /𝒋/
mathbfitk /𝒌/
mathbfitkappa /𝜿/
mathbfitl /𝒍/
mathbfitlambda /𝝀/
mathbfitm /𝒎/
mathbfitmu /𝝁/
mathbfitn /𝒏/
mathbfitnu /𝝂/
mathbfito /𝒐/
mathbfitomega /𝝎/
mathbfitomicron /𝝄/
mathbfitp /𝒑/
mathbfitphi /𝝋/
mathbfitpi /𝝅/
mathbfitpsi /𝝍/
mathbfitq /𝒒/
mathbfitr /𝒓/
mathbfitrho /𝝆/
mathbfits /𝒔/
mathbfitsTheta /𝜭/
mathbfitsepsilon /𝝐/
mathbfitsigma /𝝈/
mathbfitskappa /𝝒/
mathbfitsphi /𝝓/
mathbfitspi /𝝕/
mathbfitsrho /𝝔/
mathbfitstheta /𝝑/
mathbfitt /𝒕/
mathbfittau /𝝉/
mathbfittheta /𝜽/
mathbfitu /𝒖/
mathbfitupsilon /𝝊/
mathbfitv /𝒗/
mathbfitw /𝒘/
mathbfitx /𝒙/
mathbfitxi /𝝃/
mathbfity /𝒚/
mathbfitz /𝒛/
mathbfitzeta /𝜻/
mathbfj /𝐣/
mathbfk /𝐤/
mathbfkappa /𝛋/
mathbfl /𝐥/
mathbflambda /𝛌/
mathbfm /𝐦/
mathbfmu /𝛍/
mathbfn /𝐧/
mathbfnu /𝛎/
mathbfo /𝐨/
mathbfomega /𝛚/
mathbfomicron /𝛐/
mathbfp /𝐩/
mathbfphi /𝛗/
mathbfpi /𝛑/
mathbfpsi /𝛙/
mathbfq /𝐪/
mathbfr /𝐫/
mathbfrho /𝛒/
mathbfs /𝐬/
mathbfsTheta /𝚹/
mathbfscrA /𝓐/
mathbfscrB /𝓑/
mathbfscrC /𝓒/
mathbfscrD /𝓓/
mathbfscrE /𝓔/
mathbfscrF /𝓕/
mathbfscrG /𝓖/
mathbfscrH /𝓗/
mathbfscrI /𝓘/
