;; okuri-ari entries.
;; okuri-nasi entries.
^( /⁽/
mathsfl /𝗅/
mathsfm /𝗆/
mathsfn /𝗇/
mathsfo /𝗈/
mathsfp /𝗉/
mathsfq /𝗊/
mathsfr /𝗋/
mathsfs /𝗌/
mathsft /𝗍/
mathsfu /𝗎/
mathsfv /𝗏/
mathsfw /𝗐/
mathsfx /𝗑/
mathsfy /𝗒/
mathsfz /𝗓/
mathsigma /𝜎/
mathskappa /𝜘/
mathsphi /𝜙/
mathspi /𝜛/
mathsrho /𝜚/
mathstheta /𝜗/
mathtau /𝜏/
maththeta /𝜃/
mathupsilon /𝜐/
mathxi /𝜉/
mathzeta /𝜁/
